"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Southern Red Oak","Quercus falcata","Alabama","Montgomery","Alabama Single Tree Sites","33 52.988","-087 23.981","","","253881","1","33 52.988","-087 23.981","","Public-Private","","Clinometer/laser rangefinder/sine","16.1'","193''","","Measured by Z. Stewart 7/27/2010 along Sargasso Road near Sargasso, Walker County","Various Various","2001-01-01","","N"
"Southern Red Oak","Quercus falcata","Arkansas","Ashley","Levi Wilcoxan Demostration Forest","","","Originally dedicated as a demonstration forest by Crossett Lumber in 1948. Subsequent owners (GP, Plum Creek) have maintained this status","","234016","1","","","","Private","102.8'","Clinometer/laser rangefinder/sine","10.1'","121''","","","Don Bragg","2006-03-19","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Farkansas_shortleaf.htm","N"
"Southern Red Oak","Quercus falcata","Arkansas","Columbia","Logoly State Park","","","368 Acres","","233999","1","","","","Public - state","107.5'","Clinometer/laser rangefinder/sine","10.6'","127''","","","Don Bragg","2008-09-08","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Flogoly_state_park_ar.htm","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241659","1","","","","Private","109.5'","Clinometer/laser rangefinder/sine","10.8'","129''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241658","1","","","","Private","117.7'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241657","1","","","","Private","119.6'","Clinometer/laser rangefinder/sine","5.8'","70''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241656","1","","","","Private","121.5'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 1 Southeastern Arkansas","","","Location of tract not disclosed. Map shows a random sourheastern location.","","241655","1","","","","Private","121.8'","Clinometer/laser rangefinder/sine","7.3'","88''","","","Jess Riddle","2014-09-18","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6614%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241693","1","","","","Private","112.4'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241692","1","","","","Private","115.4'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Desha","Site 2 Southeastern Arkansas","","","Location not disclosed. Map shows a random location in southeastern Arkansas","","241691","1","","","","Private","127.5'","Clinometer/laser rangefinder/sine","7.3'","87''","","","Jess Riddle","2014-11-09","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D67%26t%3D6723%26sid%3D596b9f0b2b841094df15d50f2ae05a58","N"
"Southern Red Oak","Quercus falcata","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233947","1","","","","Public - state","79.0'","Clinometer/laser rangefinder/sine","","","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
"Southern Red Oak","Quercus falcata","Arkansas","Drew","University Of Arkansas-Monticello","","","","","233945","1","","","","Public - state","89.6'","Clinometer/laser rangefinder/sine","10.2'","122''","","Main Campus","Don Bragg","2005-03-03","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Farkansas%2Fuam_campus_trees.htm","N"
