"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Silver Maple","Acer saccharinum","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174800","1","","","","Public - federal","68.3'","Clinometer/laser rangefinder/sine","15.5'","186''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Silver Maple","Acer saccharinum","District of Columbia","District Of Columbia","Flood Plain Along Potomac River Upstream Of Georgetown","","","This is a lineal park stretching 185 miles from, Georgetown, DC to Cumberland Maryuland","","174799","1","","","","Public - federal","91.8'","Clinometer/laser rangefinder/sine","12.5'","150''","","","Darian Copiz","2014-12-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Silver Maple","Acer saccharinum","District of Columbia","District Of Columbia","Potomac Palisades","","","This a lineal park stretching 185 miles along the Potomac River from Georgetown, DC to Cumberland, MD","","175058","1","","","","Public - federal","81.9'","Clinometer/laser rangefinder/sine","12.4'","149''","","","Darian Copiz","2015-03-15","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D130%26t%3D7218","N"
"Silver Maple","Acer saccharinum","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128212","1","","","50.0 ft","Public - National Park","86.9'","Clinometer/laser rangefinder/sine","15.0'","180''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"Silver Maple","Acer saccharinum","District of Columbia","District Of Columbia","Theodore Roosevelt Island","","","Roosevelt Island is administered by the GW Memorial Parkway unit of the NPS","","128211","1","","","50.0 ft","Public - National Park","103.0'","Clinometer/laser rangefinder/sine","11.5'","138''","","","Darian Copiz","2005-12-12","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fwashington_dc%2Froosevelt_island.htm","N"
"Silver Maple","Acer saccharinum","Delaware","New Castle","Brandywine Creek State Park","","","","","142913","1","","","","State","99.3'","Clinometer/laser rangefinder/sine","10.8'","129''","","","George Fieo","2011-01-09","","N"
"Silver Maple","Acer saccharinum","Georgia","Dekalb","Herbert Taylor/Daniel Johnson Nature Preserve, Atlanta, GA","","","","","19246","1","","","","Park","111.0'","Clinometer/laser rangefinder/sine","12.3'","148''","","","Eli ?","2012-01-28","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.865","-086 15.075","","","297322","1","37 12.865","-086 15.075","455.0 ft","Public","114.4'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 11.108","-086 08.987","","","297678","1","37 11.108","-086 08.987","440.0 ft","Public","118.9'","Clinometer/laser rangefinder/sine","8.1'","97''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.096","-086 14.131","","","297746","1","37 12.096","-086 14.131","390.0 ft","Public","119.8'","Clinometer/laser rangefinder/sine","9.1'","110''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.507","-086 05.969","","","297489","1","37 13.507","-086 05.969","430.0 ft","Public","120.0'","Clinometer/laser rangefinder/sine","8.3'","100''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.496","-086 02.767","","","297528","1","37 13.496","-086 02.767","455.0 ft","Public","121.0'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.027","-086 14.029","","","297749","1","37 12.027","-086 14.029","395.0 ft","Public","122.8'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 11.089","-086 08.969","","","297677","1","37 11.089","-086 08.969","440.0 ft","Public","123.8'","Clinometer/laser rangefinder/sine","8.7'","104''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.016","-086 14.043","","","297748","1","37 12.016","-086 14.043","405.0 ft","Public","124.0'","Clinometer/laser rangefinder/sine","7.0'","84''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.063","-086 13.954","","","297750","1","37 12.063","-086 13.954","405.0 ft","Public","124.2'","Clinometer/laser rangefinder/sine","9.0'","108''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 11.123","-086 08.924","","","297679","1","37 11.123","-086 08.924","450.0 ft","Public","125.0'","Clinometer/laser rangefinder/sine","7.2'","86''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.030","-086 14.028","","","297747","1","37 12.030","-086 14.028","400.0 ft","Public","128.4'","Clinometer/laser rangefinder/sine","7.6'","91''","","","Elijah Whitcomb","2023-06-23","","N"
"Silver Maple","Acer saccharinum","Kentucky","Todd","Elkton","36 48.932","-087 09.381","","","76442","1","36 48.932","-087 09.381","600.0 ft","Public and Private","104.2'","Clinometer/laser rangefinder/sine","13.1'","158''","","Tree is along Elk fork","Jess Riddle","2005-11-01","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fkentucky%2Ftodd_county_ky.htm","N"
"Silver Maple","Acer saccharinum","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232018","1","","","","Public - state","114.4'","Clinometer/laser rangefinder/sine","11.6'","139''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Silver Maple","Acer saccharinum","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232019","1","","","","Public - state","119.4'","Clinometer/laser rangefinder/sine","9.1'","109''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Silver Maple","Acer saccharinum","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232020","1","","","","Public - state","119.8'","Clinometer/laser rangefinder/sine","8.3'","100''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Silver Maple","Acer saccharinum","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232021","1","","","","Public - state","121.5'","Clinometer/laser rangefinder/sine","8.2'","98''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Silver Maple","Acer saccharinum","Maryland","Cecil","Conowingo-Funks Pond Recreational Area","","","","","232022","1","","","","Public - state","124.9'","Clinometer/laser rangefinder/sine","11.7'","140''","","","George Fieo","2013-11-12","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D85%26t%3D8744%26sid%3D97ab2f9c9694ae17b9e495f826350141%23p44617","N"
"Silver Maple","Acer saccharinum","Maryland","Prince George's","Belt Woods - South Tract","","","This visit was to find and remeasure trees that Colby Rucker measured in 2001. His measurements can be found at:","","128442","1","","","","Public - State","19.9'","Clinometer/laser rangefinder/sine","0.8'","10''","","","Colby Rucker","2001-09-30","http%3A%2F%2Fgroups.google.com%2Fgroup%2Fentstrees%2Fbrowse_thread%2Fthread%2Fb8278e3db96bdc99%3Fhl%3Den","N"
"Silver Maple","Acer saccharinum","Michigan","Ottawa","Aman Park","42 58.731","-085 50.241","","","104975","1","42 58.731","-085 50.241","","Public","108.9'","Clinometer/laser rangefinder/sine","11.2'","134''","","","Greg Schmidt","2015-11-11","","N"
"Silver Maple","Acer saccharinum","Minnesota","Stearns","St. Cloud Ash","","","","","239871","1","","","","Private","","","17.7'","212''","","","Jimmy Mcdonald","2013-03-05","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D94%26t%3D5131%26sid%3Da8fd6a57f56df50ff5965e8cdf9bbcc8%23p22305","N"
"Silver Maple","Acer saccharinum","Missouri","Mississippi","Big Oak Tree State Park","36 38.938","-089 18.422","","","283688","1","36 38.938","-089 18.422","270.0 ft","Public","97.5'","Clinometer/laser rangefinder/sine","12.3'","148''","","","Elijah Whitcomb","2022-11-26","","N"
"Silver Maple","Acer saccharinum","Missouri","Mississippi","Big Oak Tree State Park","36 38.674","-089 17.777","","","283654","1","36 38.674","-089 17.777","305.0 ft","Public","108.6'","Clinometer/laser rangefinder/sine","12.6'","151''","","","Elijah Whitcomb","2022-11-26","","N"
"Silver Maple","Acer saccharinum","Missouri","Mississippi","Big Oak Tree State Park","36 38.803","-089 18.082","","","283655","1","36 38.803","-089 18.082","310.0 ft","Public","118.5'","Clinometer/laser rangefinder/sine","7.5'","90''","","","Elijah Whitcomb","2022-11-26","","N"
"Silver Maple","Acer saccharinum","North Carolina","Wake","North Carolina Single Tree Sites","35 15.329","-082 27.511","","","252316","1","35 15.329","-082 27.511","","Public and Private","63.8'","Clinometer/laser rangefinder/sine","15.8'","190''","","Measured by J. Parton 5/2008.","Various Various","2000-01-01","","N"
"Silver Maple","Acer saccharinum","North Carolina","Wake","North Carolina Single Tree Sites","35 15.467","-082 42.216","","","252343","1","35 15.467","-082 42.216","","Public and Private","70.7'","Clinometer/laser rangefinder/sine","","","","Measured by J. Parton 10/15/2010 at Transylvania County Recreation Center  1078 Ecusta Road, Brevard, Transylvania County","Various Various","2000-01-01","","N"
"Silver Maple","Acer saccharinum","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220651","1","","","","Private","","Clinometer/laser rangefinder/sine","9.3'","112''","","","Jess Riddle","2013-11-03","","N"
"Silver Maple","Acer saccharinum","Nebraska","Sarpy","Fontenelle Forest","","","1400 Acres","","220650","1","","","","Private","93.3'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle","2013-11-03","","N"
"Silver Maple","Acer saccharinum","New York","Cattaraugus","Zoar Valley","","","","","221869","1","","","","Public","103.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb, Erik Danielsen","2017-07-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7379","N"
"Silver Maple","Acer saccharinum","New York","Cayuga","Fort Hill Cemetery","42 55.536","-076 34.298","","","214915","1","42 55.536","-076 34.298","790.0 ft","Public","92.3'","Clinometer/laser rangefinder/sine","10.3'","124''","","","Elijah Whitcomb","2020-09-07","","N"
"Silver Maple","Acer saccharinum","New York","Cayuga","Owasco Flats Nature Preserve","","","","","242689","1","","","","Public","93.0'","Clinometer/laser rangefinder/sine","","","","","Elijah Whitcomb","2021-05-17","","N"
"Silver Maple","Acer saccharinum","New York","Chautauqua","Canadaway Creek","","","","","262230","1","","","","Public - state","91.0'","Clinometer/laser rangefinder/sine","6.0'","72''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Silver Maple","Acer saccharinum","New York","Chautauqua","Canadaway Creek","","","","","262229","1","","","","Public - state","92.5'","Clinometer/laser rangefinder/sine","10.8'","130''","","","Erik Danieldon","2018-12-29","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8475%26sid%3D790ff9aec04a19dc89f8f501cf95fd51","N"
"Silver Maple","Acer saccharinum","New York","Chautauqua","Long Point State Park","","","","","242719","1","","","","Public - state","109.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Dale Luthringer, Bruce Kershner, Gerry Horowitz","2006-05-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8077%26sid%3D6b0f6b34c4c50c35d114e981206bd7cd","N"
"Silver Maple","Acer saccharinum","New York","Chautauqua","Long Point State Park","","","","","242720","1","","","","Public - state","112.6'","Clinometer/laser rangefinder/sine","8.4'","101''","","","Dale Luthringer, Bruce Kershner, Gerry Horowitz","2006-05-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8077%26sid%3D6b0f6b34c4c50c35d114e981206bd7cd","N"
"Silver Maple","Acer saccharinum","New York","Dutchess","Staatsburgh State Historical Site","","","192 acres. It is part of the Mills-Norrie State Park complex with an additional 988 acres.","","261814","1","","","","Public - state","107.2'","Clinometer/laser rangefinder/sine","11.7'","140''","","","Elijah Whitcomb","2018-08-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8249%26sid%3D7ec1593281317737acda18ab545581a7","N"
"Silver Maple","Acer saccharinum","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281049","1","","","","Public - state","8.9'","Clinometer/laser rangefinder/sine","8.2'","98''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Silver Maple","Acer saccharinum","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281048","1","","","","Public - state","107.0'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Silver Maple","Acer saccharinum","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281047","1","","","","Public - state","109.0'","Clinometer/laser rangefinder/sine","","","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Silver Maple","Acer saccharinum","New York","Erie","Buckhorn Island State Park","","","Trees measured 8/14/2020, 9/24/2020.
895 acres","","281046","1","","","","Public - state","111.0'","Clinometer/laser rangefinder/sine","13.1'","157''","","","Erik Danielson","2020-09-24","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8720%26sid%3Daef53288401235d377d10dca07017ed8%23p44468","N"
"Silver Maple","Acer saccharinum","New York","Livingston","Big Tree Road (20A)","","","","","301397","1","","","","Public-Private","82.3'","Clinometer/laser rangefinder/sine","14.5'","174''","","","Erik Danielson","2017-10-31","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D8124%26sid%3D1ad4f25eb7b7cd4ba99b2f94a7ca9940","N"
"Silver Maple","Acer saccharinum","New York","Monroe","Highland Park","","","","","226069","1","","","","Public","105.8'","Clinometer/laser rangefinder/sine","17.0'","204''","","","Elijah Whitcomb, Tom Howard","2020-11-01","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7037","N"
"Silver Maple","Acer saccharinum","New York","Onondaga","Riverside Cemetery, Baldwinsville, NY","","","","","142520","1","","","","Public","93.3'","Clinometer/laser rangefinder/sine","15.2'","182''","","","Elijah Whitcomb, Tom Howard, Bob Henry","2016-12-25","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D7894","N"
"Silver Maple","Acer saccharinum","New York","Tompkins","Fuertes Bird Sanctuary","","","Part of Stewart Park, City of Ithaca, NY.","","280425","1","","","","Public","","Clinometer/laser rangefinder/sine","10.3'","123''","","","Tom Howard, Elijah Whitcomb, Jess Riddle","2014-10-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6400","N"
"Silver Maple","Acer saccharinum","New York","Tompkins","Fuertes Bird Sanctuary","","","Part of Stewart Park, City of Ithaca, NY.","","221039","1","","","","Public","119.3'","Clinometer/laser rangefinder/sine","10.4'","125''","","","Elijah Whitcomb, Tom Howard","2020-11-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D6400","N"
"Silver Maple","Acer saccharinum","New York","Wayne/Cayuga","Howland's Island","43 04.248","-076 42.210","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220920","1","43 04.248","-076 42.210","385.0 ft","Public (NYS)","81.6'","Clinometer/laser rangefinder/sine","9.1'","109''","","CBH is one of several trunks","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Silver Maple","Acer saccharinum","New York","Wayne/Cayuga","Howland's Island","43 04.319","-076 42.267","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220922","1","43 04.319","-076 42.267","370.0 ft","Public (NYS)","83.0'","Clinometer/laser rangefinder/sine","15.1'","182''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Silver Maple","Acer saccharinum","New York","Wayne/Cayuga","Howland's Island","43 04.273","-076 42.269","Part of the Montezuma NWF, Howland's Island is a multi-use public property. The land area is broken up by several large ponds, swamps, meadows, fields and cattail marshes.  Most of the forested land contains even-aged hardwood stands, though a few very large and old specimens can be found.","","220921","1","43 04.273","-076 42.269","","Public (NYS)","86.2'","Clinometer/laser rangefinder/sine","12.8'","154''","","","Elijah Whitcomb","2020-11-16","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D105%26t%3D3337","N"
"Silver Maple","Acer saccharinum","Ohio","Butler","Miami University","","","Four Bur Oaks, including the largest one were measured on 2/3/2013 by M. Markworth.

see:http://www.ents-bbs.org/viewtopic.php?f=111&t=5009#p21622","","168456","1","","","","Public-state","","Clinometer/laser rangefinder/sine","14.0'","168''","","Circumference taken at 3'","Matt Markworth, Steve Galehouse","2013-05-08","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D5371%23p23473","N"
"Silver Maple","Acer saccharinum","Ohio","Cuyahoga","Huntington Reservation","","","","","5915","1","","","","Metroparks","65.5'","Clinometer/laser rangefinder/sine","","","","","Steve Galehouse","2011-08-20","","N"
"Silver Maple","Acer saccharinum","Ohio","Franklin","Indian Ridge Oxbow","","","","","162250","1","","","","Public-state","9.0'","Clinometer/laser rangefinder/sine","","","","","Rand Brown","2015-04-10","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D6992%23p32874","N"
"Silver Maple","Acer saccharinum","Ohio","Franklin","Public Hunting Area- North Bend And West Benk Area","","","","","168401","1","","","","Public-state","91.0'","Clinometer/laser rangefinder/sine","8.3'","99''","","","Rand Brown","2015-05-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D6992%23p33226","N"
"Silver Maple","Acer saccharinum","Ohio","Franklin","Public Hunting Area- North Bend And West Benk Area","","","","","168423","1","","","","Public-state","110.5'","Clinometer/laser rangefinder/sine","","","","","Rand Brown","2015-05-07","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D6992%23p33226","N"
"Silver Maple","Acer saccharinum","Ohio","Hardin","Lawrence Woods State Nature Preserve","","","1035 acres","","162209","1","","","","Public-state","125.0'","Clinometer/laser rangefinder/sine","9.2'","110''","","","Rand Brown","2014-04-28","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D111%26t%3D6281","N"
"Silver Maple","Acer saccharinum","Ohio","Lake","2330 River Road","41 36.759","-081 24.809","A small 4 acre farm tract from the early 1900's on the west edge of the Chagrin River. About 2 miles north of North Chagrin Reservation.","","15964","1","41 36.759","-081 24.809","","Private","101.6'","Clinometer/laser rangefinder/sine","19.2'","230''","120.1'","A large mass of tree split and landed on the house 2011. Unfortunately most of the tree fell, and the rest was cut down to the stump.","Daniel Reed, Steve Galehouse, Will Blozan","2011-09-05","","N"
"Silver Maple","Acer saccharinum","Ohio","Lucas","Pearson Metro Park","","","","","168583","1","","","","Public","119.1'","Clinometer/laser rangefinder/sine","9.4'","113''","","","Will Blozan","2009-06-28","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fohio%2F20090629-pearson%2Fpearson_metropark.htm","N"
